,C9,I9,C11,I11,C16,I16,I1,I2,I3,L1,L2,L3,B1,B2,B3
"MSTRG.10",7.184709,4.063987,4.984054,5.724157,1.581657,3.96464,2.739846,2.66841,2.546463,5.717725,6.38325,3.416953,1.587935,8.846023,1.22344
"MSTRG.100",4.516486,2.695654,2.747037,2.954312,3.566752,3.270768,1.343842,3.93757,1.072273,3.148774,0.93157,2.507655,3.033433,5.803679,6.480764
"MSTRG.1000",17.6007,26.212414,25.423447,26.080704,24.946035,25.941334,11.884362,14.56459,9.087697,9.065417,7.670074,6.673806,6.362329,4.957946,11.194334
"MSTRG.10000",49.409927,53.625519,57.711937,51.562325,45.616276,46.776001,15.890779,25.748243,13.86542,19.860533,16.129627,18.125116,12.822699,15.738292,18.672257
"MSTRG.10001",9.129395,9.821452,6.502999,7.195256,9.929322,9.838973,4.468236,7.572628,4.316594,5.62415,4.992279,4.38286,4.798348,6.215771,7.404413
"MSTRG.10004",1.162167,0.209264,0.776413,2.892389,1.823321,3.253088,0.038697,0.278599,0.10866,8.708555,3.479456,4.726562,0.065643,0.061834,0
"MSTRG.10006",5.433485,6.02555,4.539703,4.658873,6.743782,7.320634,2.485938,2.744438,1.884368,7.798788,7.599078,4.319844,9.945018,10.39686,19.175596
"MSTRG.10007",20.628864,22.689569,19.823847,21.929583,19.69516,22.337503,15.603691,20.153557,15.245467,8.237323,7.487044,7.087878,10.380807,12.319452,17.999529
"MSTRG.10008",14.200539,16.286793,10.599118,12.575506,16.733749,17.971313,5.747467,11.645291,6.448598,25.289055,27.078266,19.386719,1.739306,2.4343,2.857803
"MSTRG.10009",2.113691,2.765849,2.438801,2.567863,1.908981,1.52754,2.329673,2.303326,2.38772,2.068147,1.938259,2.091182,3.10742,3.515909,3.577056
"MSTRG.1001",8.692184,12.068165,13.201076,12.864755,14.321117,15.202474,4.61518,5.447511,3.540735,0.270283,0.450427,0.088318,5.06175,3.789404,8.111524
"MSTRG.10010",10.850897,12.741441,10.299665,11.166908,10.701758,10.664474,4.752088,7.135986,5.026771,24.542702,28.284834,21.820688,3.810723,3.761814,5.592792
"MSTRG.10012",0,0.104295,0,0.025639,0.188959,0.094236,0.232689,0.172188,0.198234,0.074791,0,0.029177,12.466688,11.774227,30.612589
"MSTRG.10014",7.237457,7.056231,7.292742,10.287251,8.62805,11.606437,2.21926,2.218498,2.213861,12.865079,12.411315,8.937099,6.932759,8.496961,9.676643
"MSTRG.10015",17.411772,22.739806,19.182774,20.692057,15.108752,15.972153,12.911171,23.787775,13.330564,4.546821,4.021811,3.644188,10.089372,10.881159,15.193373
"MSTRG.10016",10.000741,10.279258,9.662514,10.56566,11.880514,7.116707,6.194684,10.521954,3.624907,6.117786,5.648185,5.530963,7.441734,9.915025,9.723003
"MSTRG.10018",38.936357,38.694545,37.525353,42.801042,39.197283,44.344294,29.690873,48.306893,29.344715,23.025315,24.720856,20.543944,19.977436,23.917109,38.483521
"MSTRG.1002",4.155085,6.232333,5.407198,5.816691,4.393008,5.039576,0.844803,1.669327,0.598363,1.930756,2.183793,1.948954,0.505857,0.420371,0.644167
"MSTRG.10020",1.842023,2.36939,2.284005,2.642913,0.758772,1.133509,1.449626,1.775028,1.297506,0.085082,0.109345,0.093634,3.199204,3.530754,7.212579
"MSTRG.10023",3.922328,4.461287,3.50564,3.268708,3.20543,3.549116,2.585928,3.285211,2.387437,6.162299,6.090211,5.262183,2.725075,3.454958,4.070202
"MSTRG.10024",22.836343,24.273377,22.779425,24.716026,27.416451,26.216961,9.611212,19.738203,9.149694,1.406406,1.681704,1.428555,4.604422,6.349921,8.784435
"MSTRG.10027",1.694617,1.813308,1.703162,2.021725,3.832277,3.475223,5.614927,11.964573,7.362892,0.80882,1.091653,1.757946,8.218474,8.779965,11.288143
"MSTRG.10030",0.001939,0,0.000887,0,0,0,0,0,0,0.000468,0.003828,0.00136,3.629322,6.803136,2.588123
"MSTRG.10031",0.015223,0.013454,0.010584,0.003783,0.015883,0.02514,0.000298,0.003542,0,0,0,0,3.744535,7.536137,3.050943
"MSTRG.10032",0.001118,0.003164,0,0.004245,0.001222,0,0,0,0,0,0,0,2.994519,5.813789,2.509158
"MSTRG.10033",0.039564,0.033337,0.01308,0.008707,0.010387,0.010093,0.000384,0.000474,0.00181,0,0.001559,0,3.091621,6.336747,2.650617
"MSTRG.10034",9.539953,11.911747,6.964844,8.619984,6.344215,8.025346,2.084593,2.779394,1.803929,10.910568,14.531139,10.959412,6.578161,9.789624,10.303041
"MSTRG.10035",0.138515,0.087885,0.055859,0.026701,0.216143,0.106983,0.260237,0.178754,0.127968,0.019785,0.043549,0.047865,19.656468,30.002278,43.272274
"MSTRG.10036",0.007309,0.005845,0.001816,0.001915,0,0.00089,0,0.000279,0,0,0,0,6.236755,12.204019,5.29706
"MSTRG.10037",0.011718,0,0,0.002476,0,0,0,0,0,0.007319,0,0,6.345113,10.726655,4.522746
"MSTRG.10038",0.003092,0.004353,0.000784,0,0,0,0,0,0,0.000414,0.002997,4e-04,3.540668,6.450738,2.553149
"MSTRG.10039",0.010043,0.019789,0.012653,0.002659,0.01304,0.024465,0.000489,0.003808,0,0,0,0,3.67713,7.288111,2.850667
"MSTRG.1004",8.017534,9.06849,6.933699,8.018803,4.913784,5.322776,3.459656,6.870072,3.002438,2.286581,2.464922,1.733823,2.674837,1.957887,2.864601
"MSTRG.10040",0.037406,0.037223,0.016595,0.004594,0.003672,0.013097,0,0,0.002972,0,0.005056,0,3.0982,6.472025,2.627389
"MSTRG.10041",0.034187,0.020804,0.013869,0.004282,0.000527,0.005284,0.001449,0,0,0,0,0,3.248801,6.381327,2.629724
"MSTRG.10042",0.032513,0.023529,0.021466,0.014675,0.017616,0.007608,0.002645,0.013331,0.002385,0,0,0,4.90907,11.0617,4.846597
"MSTRG.10043",0.023506,0.016875,0.012006,0.008396,0.012002,0.01538,0.000533,0.002135,0.000251,0,0.000784,0,4.486417,9.279761,3.722706
"MSTRG.10044",0.152887,0.020594,0.005077,0,0.000644,0,0,0,0.005832,0,0,0,4.80877,8.769679,3.727647
"MSTRG.10045",0.07236,0.015809,0.020282,0.007387,0.066454,0.011205,0.006737,0,0.007854,0,0,0,4.552238,9.470102,4.115845
"MSTRG.10046",0,0.124864,0.048817,0,0,0.126316,0.039184,0,0.017186,0,0,0,3.01775,4.49243,2.426
"MSTRG.10047",0.000762,0.016423,0.009477,0.009048,0.029822,0.001183,0,0,0,0.00762,0.013075,0.025074,3.308919,6.950854,2.816408
"MSTRG.10048",0.008891,0.037596,0.00527,0,0,0.012161,0,0,0,0,0.021607,0.032627,2.660189,5.218477,2.059082
"MSTRG.10049",0,0.032181,0,0,0,0.010171,0,0,0,11.954344,9.785199,6.781812,0.970826,2.443624,1.238217
"MSTRG.1005",32.843062,40.409711,29.669208,30.36337,27.624761,28.73719,8.60414,15.288502,7.689592,4.266711,5.320166,4.78875,6.36963,7.14925,9.418526
"MSTRG.10050",2.766138,3.31436,3.219744,3.786477,1.834494,1.834778,1.411173,2.441245,1.228497,2.311758,1.876139,1.696191,3.672616,5.431364,5.066042
"MSTRG.10056",2.22202,2.237727,1.764859,2.423676,4.04023,5.667432,0.336543,0.423477,0.368454,0.154459,0.125649,0.196443,5.971559,7.991195,8.008422
"MSTRG.1006",106.773888,134.234848,132.676514,137.161072,85.770958,82.941399,90.498695,79.021484,72.014771,40.39566,42.722019,37.941547,39.629398,59.260811,67.229073
"MSTRG.10060",0.128025,0.155501,0.108478,0.102908,0.117758,0.24599,0.107622,0.152183,0.12686,0.018108,0,0.018179,2.238925,1.914938,2.2914
"MSTRG.10062",21.338692,21.021605,22.773649,23.304831,14.257343,12.577387,8.667283,11.511814,7.171845,12.386094,12.228703,12.927617,10.507266,12.699336,15.773781
"MSTRG.10064",55.484924,58.82975,53.724796,56.144714,47.153141,48.505604,27.826801,33.300266,21.771875,87.347908,89.598618,100.371063,29.058779,30.156675,46.121437
"MSTRG.10065",52.90295,59.244606,67.772713,64.897156,69.897301,66.952179,70.519249,90.459221,53.62812,155.545517,165.307373,205.663666,74.242798,79.939445,149.703903
"MSTRG.10066",12.236941,12.658469,8.90422,9.963115,13.799423,12.50461,5.913662,7.395049,5.226312,8.253137,9.04168,4.983194,5.182242,11.491865,10.667978
"MSTRG.1007",5.139148,5.018215,5.261338,7.257639,6.892378,6.856437,4.295639,8.61367,3.333476,40.265179,26.873005,27.281342,0.224388,0,0.239282
"MSTRG.10071",0.203772,0.219691,0.046981,0.15718,0.143236,0.171779,0.024106,0.045521,0.02497,1.818487,2.052499,1.831907,0.405927,0.771836,0.485879
"MSTRG.10072",0.56098,0.541037,0.590427,0.897746,0.522502,1.075205,0.807657,0.779233,0.730718,1.332021,1.206137,1.242302,11.260067,15.014952,11.648095
