Numero de planta;Presencia T;Lectina;Dias de 1embra a emergencia ;Dias de emergencia a panojamiento ;N macollos 60 dias post emergencia ;N paniculas  60 dias post emergencia ;N macollos 90 dias post emergencia ;N macollos 120 dias post emergencia ;N paniculas 120 dias post emergencia ;PANOJA 1 Largo hoja bandera (mm);PANOJA 1 Ancho hoja bandera  (mm);PANOJA 2 Largo hoja bandera (mm);PANOJA 2 Ancho hoja bandera  (mm);PANOJA 3 Largo hoja bandera  (mm);PANOJA 3 Ancho hoja bandera (mm);N macollos 140 dias post emergencia;N paniculas 140 dias post emergencia; Diametro mata (cm) 140 dias post emergencia ; Altura de planta (cm) 140 dias post emergencia ;PANOJA 1 Longitud (mm);PANOJA 1 Tipo ;PANOJA 1 Po1cion ;PANOJA 1 Exercion ;PANOJA 1 N semillas llenas;PANOJA 1 N semillas vanas ;PANOJA 2 Longitud (mm);PANOJA 2 Tipo ;PANOJA 2 Po1cion ;PANOJA 2 Exercion ;PANOJA 2 N semillas llenas;PANOJA 2 N semillas vanas ;PANOJA 3 Longitud (mm);PANOJA 3 Tipo ;PANOJA 3 Po1cion ;PANOJA 3 Exercion ;PANOJA 3 N semillas llenas;PANOJA 3 N semillas vanas ;N macollos 180 dias post emergencia;N paniculas cosechadas totales ;Dias de emergencia a madurez de cosecha;Trillabilidad ;Cantidad de Gras pesados ;Peso de 100 gras (g);Peso total de gras por planta (g);N gras por planta ;TIPO
1;1; ;6;105; ;0;17;76;1; ; ; ; ; ; ;90;1;18.7;44;65;1;1;0;9;9; ; ; ; ; ; ; ; ; ; ; ; ;84;15;249;0;88;0.36;0.36;88;0
2;1; ;6;95; ;0;7;38;1; ;8; ; ; ; ;49;1;14.6;42.5;60;5;1;0;11;32; ; ; ; ; ; ; ; ; ; ; ; ;61;16;253;0;100;0.26;0.6;231;2
3;1; ;6; ;5;1;14;37;15;194;14;212;14;160;11;45;23;13.4;48.1;71;1;1;0;23;12;62;1;1;0;30;9;60;1;1;0;14;10;38;22;249;0;100;0.56;3.2;571;5
4;1; ;6; ; ;0;6;19;1;184;14; ; ; ; ;34;1;13.1;43.5;57;1;1;0;12;29; ; ; ; ; ; ; ; ; ; ; ; ;48;14;266;1;100;0.34;0.87;256;2
5;1; ;6; ;2;1;4;15;4; ; ;149;8;123;8;17;5;10.3;42.8;71;5;1;0;39;2;58;5;1;0;3;13;67;1;1;0;3;9;30;12;266;1;100;1.11;1.81;163;1
6;1; ;6; ; ;0;4;12;5;239;9;188;9;239;8;15;12;8.6;61.3;119;5;2;1;50;2;88;5;1;1;9;8;79;5;1;1;11;0;14;30;266;2;100;1.23;4.91;399;3
7;1; ;6; ;2;1;3;9;4;207;10;147;10;209;10;12;10;7.2;60.8;111;5;2;1;53;0;89;1;1;1;25;0;93;1;1;1;26;0;13;30;266;2;100;1.28;10.17;795;7
8;1; ;6; ;2;2;3;12;6;175;9;190;10;144;9;16;10;7.8;59.7;108;5;1;1;26;0;107;5;1;1;33;0;89;5;1;1;9;0;15;37;266;2;100;0.98;7.39;754;7
9;1; ;6; ; ;0;2;7;5;271;11;187;9;114;8;16;9;8.8;60.5;123;5;1;1;39;0;92;5;1;1;14;2;93;5;1;0;10;1;21;51;266;2;100;0.75;10.97;1463;10
10;1; ;6; ;1;1;3;10;5;224;11;198;12;231;9;15;8;7.1;67.1;101;1;1;1;44;1;121;5;1;1;58;0;106;1;1;1;30;0;22;47;266;2;100;1.05;19.43;1850;11
11;1; ;6; ;3;1;6;11;6;166;8;146;10;192;10;16;11;8.9;67.2;112;5;2;1;30;0;93;5;1;0;15;0;124;9;2;1;57;0;15;33;266;2;100;1.13;12.22;1081;12
12;1; ;6; ;4;1;5;10;8;197;10;140;8;216;11;20;12;10.4;61;125;9;2;1;29;0;96;5;2;1;16;0;98;5;1;1;20;0;21;40;266;2;100;1.23;16.21;1318;13
13;1; ;6; ;1;1;4;10;5;177;8;176;11;200;8;16;8;9.4;65.6;93;5;1;1;14;1;126;5;2;1;49;0;122;5;1;1;11;1;20;27;266;2;100;1.09;9.87;906;9
14;1; ;6;89; ;0;6;11;10;389;13;230;11;226;9;25;14;12.5;80.1; ; ; ; ; ; ;104;5;2;1;41;1;111;5;1;1;29;1;23;38;266;1;100;1.64;16.97;1035;10
15;1; ;6; ; ;0;2;8;5;317;11;228;8;251;10;8;8;6.9;67;128;5;2;1;42;0;111;9;2;1;28;0;100;5;2;1;35;0;9;18;266;1;100;1.59;7.04;443;4
16;1; ;6; ; ;0;3;8;4;247;10;;11;129;9;9;6;8.2;61.8;106;5;1;1;23;4;141;5;2;1;57;0;42;5;1;0;3;5;15;24;266;1;100;1.83;13.03;712;7
17;1; ;6; ; ;0;1;6;4;282;11;211;9;225;9;8;5;5.2;48;102;1;1;1;34;3;83;5;1;1;34;0;85;5;1;1;18;0;10;22;253;2;100;1.88;7.73;411;4
18;1; ;6; ;3;1;6;12;6;331;12;230;10;184;10;19;11;10.9;76;145;5;2;1;66;0;116;5;1;1;18;3;104;5;2;1;31;4;16;29;256;2;100;2.07;19.07;921;9
19;1; ;6; ; ;0;4;9;6;300;13;222;10;177;10;13;10;10.4;66;133;5;2;1;56;2;109;5;2;1;37;0;113;5;2;1;36;2;21;38;266;2;100;1.8;21.5;1194;10
20;1; ;6; ; ;0;5;7;6;345;12;322;10;301;10;10;6;8.2;61.9;121;5;2;1;47;2;113;5;1;1;36;0;97;5;1;1;37;0;17;25;253;2;100;2.18;15.14;694;6
21;1; ;6; ; ;0;4;8;5;240;10;285;10;253;11;13;11;8.6;65.2;110;5;1;1;29;0;98;1;1;1;27;0;113;5;2;1;34;0;17;41;266;2;100;1.32;17.55;1330;10
22;1; ;6; ;4;2;4;8;5;303;11;217;9;168;9;13;8;10.4;64.5;134;5;2;1;67;0;110;5;2;1;30;0;91;5;2;1;31;0;19;32;266;1;100;1.95;19.54;1002;10
23;1; ;6; ;4;2;7;9;8;295;10;315;11;222;9;16;13;10.4;61.8;136;5;2;1;43;0;102;1;1;1;39;0;104;5;2;1;28;0;15;32;256;2;100;1.89;13.2;698;6
24;1; ;6; ; ;0;4;5;4;272;12;230;10;194;9;9;5;6.1;60.1;122;5;2;1;40;2;92;1;1;0;21;4;94;5;1;1;8;0;17;33;253;2;100;2.3;17.6;765;7
25;1; ;6;89; ;0;3;9;3;315;10;262;11;391;10;9;7;7.4;76.8;109;5;2;0;53;0;101;5;2;1;56;3;138;5;2;1;65;2;15;15;256;1;100;1.8;11.58;643;6
26;1; ;6;100; ;0;3;5;5;281;8;338;11;262;9;6;5;6.9;74.9;112;5;1;1;38;4;130;5;2;1;78;2;118;5;1;1;41;0;13;9;253;1;100;1.89;3.68;195;1
27;1; ;6;91; ;0;2;7;4;315;11;300;12;237;10;10;6;8.5;73.9;128;5;2;1;79;2;117;5;1;1;61;1;116;5;1;0;38;0;19;24;256;2;100;2.17;25.42;1171;10
28;1; ;6;91; ;0;2;3;2;414;12;236;10; ; ;7;2;7.1;75.3;131;5;2;1;62;1;118;5;2;1;43;1; ; ; ; ; ; ;14;13;253;2;100;1.88;6.7;356;3
