id, folding
bpRNA_RFAM_23518,((((((...)))))).......
bpRNA_RFAM_35615,((((.(((((((...))))))).))))
bpRNA_RFAM_25233,.....(((((.....)))))........
bpRNA_RFAM_5020,..(((((.(((((......))))))))))....
bpRNA_RFAM_14597,(((((((.......((((....)))))))))))
1kpy,....(((((......))))).............
1eht,((((...((((((....)))...)))...))))
bpRNA_RFAM_14595,((((((.....................))))))
3fu2-1-B,(((((..........))))).............
2ozb-1-C,(((((.(((.....((.....))..))))))))
4oog-1-D,((((((((((((((....))))))))))))))..
2euy,((((((.((..((((....)))).))..))))))
2kpv,((((((((..((((....))))...)))).))))
5lwj,(((((((......((........))..)))))))
2zh2-1-B,((((((((((((.......))))))))))))...
bpRNA_RFAM_15547,...(((((((((((.....)))))))))))....
1nbk,((((((..(((((((....)))..))))))))))
2rvo,((((((((...(((((....))))).))))))))
3gca-1-A,(((((..........)))))..............
1rnk,(((((((....)).)))))...............
4ato-1-G,...(((((...((((.((....))))))))))).
4v84-1-AV,((((((((.((((....)))))))))))).....
bpRNA_RFAM_5009,.(((((..((.(((((......)))))))))))).
4c4w-1-D,..((((......)))).....((((....))))..
6cf2-1-G,(((((..(((((((....))))..)))...)))))
bpRNA_RFAM_35590,(((((........))))).................
1ddy-1-A,.......((.(((((..........))))).))..
bpRNA_RFAM_25383,..(((.((((....((.......)))))))))...
bpRNA_RFAM_25376,.......(((((....)))))..............
5de5-1-A,((((((.......((......))......))))))
bpRNA_RFAM_9985,......(((((.((((....)))).))))).....
4fnj-1-A,..((.(((...(((((....)))))..))).))..
bpRNA_RFAM_25275,.........(((.((...)).)))...........
3r9x-1-C,((((((((((....))))))))))...........
4x4v-1-B,(((.((((((((.......))))))))))).....
1fmn,(((((((......(((....))).....)))))))
3ouy-1-C,((((((((((((.......))))))))))))....
4v83-1-AV,((((.(((.((((....))))))).))))......
6dcb-1-B,(((.(((((((....)))))))...)))........
6c63-1-A,((((((........................))))))
5bjo-1-E,((((((..((......(((....)))))..))))))
bpRNA_RFAM_25295,((......((((.((....)).)))).....))...
bpRNA_RFAM_25336,(((((((......)))))))................
bpRNA_RFAM_25374,..........(((((.((((....)))).)))))..
bpRNA_RFAM_25341,.(((((..((((....))).....)..)))))....
bpRNA_RFAM_41324,.................(((((.((....)))))))
bpRNA_RFAM_5003,..((((((.(.(((((......))))))))))))..
2n6s,((((((((((((((((...)).))))))))))))))
bpRNA_RFAM_5034,...(((((...(((((......))))).)))))...
3vjr-1-B,.((((((((((((.......))))))))))))....
2tpk,........(((((((.(........).)))))))..
bpRNA_RFAM_5029,(((((.((.(.(((((......)))))))).)))))
bpRNA_RFAM_25366,((((((((....................))))))))
bpRNA_CRW_19530,...(((((((.........)).))))).........
5kqe,(((((((......((((((....)))))))))))))
1e95,((((((.......)))))).................
4x4p-1-B,((((((((((((.......)))))))))...)))..
2xd0-1-H,....(((((......)))))................
5voe-1-A,((((((.....((((......)))).....))))))
bpRNA_RFAM_5000,(((.((((.(.(((((......)))))))))).)))
bpRNA_RFAM_25338,(((.(((((..........))))).)))........
bpRNA_RFAM_25308,.((((((((((.(((.....))).)))..))))))).
bpRNA_RFAM_25288,.............((((........))))........
bpRNA_RFAM_25413,......((((((....)).))))..............
bpRNA_RFAM_23495,..........(((((.(((.......)))..))))).
bpRNA_RFAM_25429,((..((((((((....)))))..)))..)).......
bpRNA_RFAM_14958,...(((.(((((((((.....))))))))).)))...
bpRNA_RFAM_25282,....(((((((((....)))))))))...........
bpRNA_RFAM_25289,.............((((........))))........
bpRNA_RFAM_14929,....((((((((((((.....))))))))))))....
bpRNA_RFAM_25356,((..(((((((((....)))))))))..)).......
bpRNA_RFAM_30072,..(((((.(((.........)))))))).........
bpRNA_RFAM_5006,(((.((((.((.(((((......))))))))))))))
bpRNA_RFAM_25255,...............(((((((...))))))).....
bpRNA_RFAM_25430,.(((..((((((....))))))..)))..........
bpRNA_RFAM_25427,.((((..(...(((......)))....)..))))...
bpRNA_RFAM_25403,(((.(((.((((..((....))..)))).))).))).
1i6u-1-C,((((((((((.(((((....)))))..))))))))))
bpRNA_RFAM_25285,....(((((((((....)))))))))...........
bpRNA_RFAM_40138,.(((((....)))))......................
1kog-1-I,((((((.(((((((.......)))))))...))))))
bpRNA_RFAM_25422,...............(((((.....))))).......
bpRNA_RFAM_25361,.............((((........))))........
bpRNA_RFAM_25362,............(((((........))))).......
bpRNA_RFAM_9615,(((.(((.....))).))).....((((.....))))
bpRNA_RFAM_25426,........((((.......))))....(((....)))
bpRNA_RFAM_25441,..............((((((((...))))))))....
bpRNA_RFAM_25272,.............((((..........))))......
bpRNA_RFAM_25434,(((.(((((((....)))...........)))).)))
bpRNA_RFAM_25365,............(((((((((....)))))))))...
bpRNA_RFAM_25326,..........(((((((((......))))..))))).
bpRNA_RFAM_14917,...(((((((((((((.....)))))))))))))...
bpRNA_RFAM_25442,..........(((((((..........)))))))...
bpRNA_RFAM_25445,.......(((.(((......)))....))).......
bpRNA_RFAM_25329,.....(((((((......)))))))..(((...))).
bpRNA_RFAM_25286,.............((((........))))........
bpRNA_RFAM_25311,.....(((((((......)))))))............
bpRNA_RFAM_25363,...............((((((....))))))......
bpRNA_RFAM_25267,(((....)))...((((..........))))......
bpRNA_RFAM_25436,....((((.(((.............))).))))....
bpRNA_RFAM_25315,.....((((((((....))))))))............
bpRNA_RFAM_25253,(((((..........(((((((...))))))))))))
bpRNA_RFAM_25448,.......(((....(((((...))))).....)))..
6dtd-1-C,.((((....(((((((.....).))))))....))))
bpRNA_RFAM_15021,...((((((((((((((...))))))))))))))...
bpRNA_RFAM_25245,..............((((((((...))))))))....
2lhp,(((((((((.((((((....))))))..)))))))))
bpRNA_RFAM_25265,.(((((.......((((..........))))))))).
bpRNA_RFAM_25283,....(((((((((....)))))))))...........
bpRNA_RFAM_25323,..........(((((((((......))))..))))).
bpRNA_RFAM_25317,........(((.....(((((....))))))))....
bpRNA_RFAM_25277,........((((((.....))).)))...........
1f1t-1-A,((((((((.(((((....)))))....))...))))))
bpRNA_RFAM_30017,.............(((((..((....))..)))))...
bpRNA_RFAM_30054,.............(((((.........)))))......
bpRNA_RFAM_30068,...(((((((...(((..........)))..)))))))
bpRNA_RFAM_30015,.............(((((..((....))..)))))...
1a9l,((((((((((...((((....))))))))...))))))
4pdb-1-I,(((((((((.(..((((....))))..).)))))))))
bpRNA_RFAM_30059,...((.((((..((((((.....))))))..)))).))
bpRNA_RFAM_25360,..............((((((.......)))))).....
bpRNA_RFAM_30049,..((.(((((((........))))))))).........
bpRNA_RFAM_42281,..((((.((......))))))......(((....))).
1zho-1-B,((((((((((..(((....)))......))))))))))
bpRNA_RFAM_40113,........(((((((...))).))))............
2khy,((((((.......((((....)))).......))))))
bpRNA_RFAM_25419,.......((((..(((..((.....)))))..))))..
6e8s_A,((((((((......((......))......))))))))
bpRNA_RFAM_25409,..............(((((((....)))))))......
bpRNA_RFAM_25359,(.((.(.((((.....))))...).)).).........
bpRNA_RFAM_37192,....(((...((((((((...))))))).)....))).
bpRNA_RFAM_37203,.......((..(((.(((...))).)))..))......
1b36,(((((.......((((....)))).........)))))
bpRNA_RFAM_30011,..........((((((((.........))))))))...
6d12-1-C,(((((((.....)))))))(((((((.....)))))))
bpRNA_RFAM_37191,....(((.(((.((((((...))))))...))).))).
bpRNA_RFAM_30063,..((((..((...(((.(......).)))..)))))).
bpRNA_RFAM_30056,..((...(((((........)))))..)).........
bpRNA_RFAM_30064,.......(((((........)))))((((....)))).
bpRNA_RFAM_30026,..((.(.(((((.........))))).))).........
bpRNA_RFAM_30039,.............((((....(((...)))..))))...
6sy6_D,(((((...........(((....)))........)))))
bpRNA_RFAM_40134,..((((....)))).((((....))))............
4kr6-1-C,(((((((.......(((((....))))))))))))....
bpRNA_RFAM_30079,((.(((.(((((..(....).)))))..))).)).....
bpRNA_RFAM_30105,.......((.((.((((((........)))))).)).))
bpRNA_RFAM_16894,..(((((((...((...((....))..)).)))))))..
bpRNA_RFAM_40109,..((((....))))..........................
5wtk-1-B,..((((.........)))).....................
bpRNA_RFAM_35660,((((((((.(((...............))))))))..)))
bpRNA_RFAM_23367,((....(((..(.(((....))))..)))......))...
4pmi-1-A,((((((.....(.(((((....))).)).)....))))))
bpRNA_RFAM_23489,.((((((((......)))))))).................
bpRNA_RFAM_9466,...((((.((((((((.......))))))))...))))..
4r8i-1-B,((((...........))))..(((.(((....))).))).
2hua,(((((((.((.....((....))....))....)))))))
5nwq-1-A,((......)).(((((((..((.....)).....)))))))
bpRNA_RFAM_40560,.((((((((((((..............))))))).))))).
bpRNA_RFAM_40548,.......(((((((..(((........)))..)))))))..
